question,answer_llm,answer_original,document
I'm having trouble accessing video/zoom links for Office Hours. Can someone please provide me with the Youtube Live link I can use instead?,I don't know.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I submit a question to Slido during live sessions? Is it through a URL or on the website?,"Based on the context provided, it seems that you want to know how to submit questions via Slido during live Zoom sessions. According to Section: ""General Course-Related Questions"":

""If the room is very active... Don’t post questions in chat as they may be missed.""

However, I don't see any information about submitting a question via Slido specifically.

As an alternative, you can submit a question via Slack according to Section:

""Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).""

Unfortunately I don't know where you should submit a question via Slido","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Is there an alternative method to watching Office Hours beyond YouTube and Zigya (Slack)?,"I don't know regarding an alternative method to watching Office Hours beyond YouTube, Zigya (Slack). However, I can suggest that students check out Live sessions announced separately when they happen. 

If no live session is available, students are advised to ask their questions in Slack and follow the asking questions guidelines there.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If we miss our question in the chat, what should we do? Can anyone catch up with us afterwards?","Here are the answers to the question you asked:

1. If we miss our question in the chat, according to Module 2, if we can’t make it to the attempt#1 submission window, we still have time to catch up to meet the attempt#2 submission window.

There is no specific guidance on what to do to catch up with peers who are missing their questions. However, there is some general information about catching up in the context of the course:
The course materials include a side-by-side comparison for vector search.
However, that doesn't tell us what we should do when we're missing our question.

I don’t know","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Can we expect video/zoom links for Office Hours to be published at least one or two days before the session?,"I don't know if video/zoom links for Office Hours will be published at least one or two days before the session. According to the provided context, it is only mentioned that the video URL should be posted in the [announcements channel on Telegram and Slack] before theOffice Hour begins, which does not necessarily mean that every link will be posted with a certain time gap (at least 1-2 days).","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Hi what are the initial steps I should take before starting the course and how should I navigate the weekly workflow?,"To answer your question about the initial steps to take before starting the course and navigating the weekly workflow:

1. Start by familiarizing yourself with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), [general Zoomcamp logistics docs](https://datatALKS.club/docs/Courses/zoomcamp-logistics/), and browse through the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

2. The course materials, including video lessons, lesson notebooks/code, homework instructions, are already available for you to access.
3. You can start the course at any time you prefer.

4. A typical workflow in this course involves:
   - Watching the lesson videos
   - Working through the lesson notebooks/code
   - Reading the homework instructions from GitHub
   - Submitting your answers in the course platform before the deadline.

5. It is also essential to note that ""homework"" follows a similar flow but may use different datasets or tasks.

I don't know what kind of financial commitment you will have for using the Open AI API specifically, so it would be best to check with Zoomcamp docs or general Zoomcamp logistics docs if available.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I start the course on my own schedule, and where can I find resources for help if I get stuck?","For this question, I'll need more context or details to provide a specific answer.

However, here are some general guidelines based on the provided information:

If you're having trouble with Module 1 (RAG) and need help, I suggest:

1. Checking the GitHub repository for updates and troubleshooting guides.
2. Looking at the course management platform for deadlines and submission guidelines.
3. Referring to the homework instructions, which often contain additional context and guidance.

Additionally, if you'd like to take the course in self-paced mode without a live cohort, you can start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/) and the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/) for general guidance on the course workflow.

If you're still having trouble, I recommend checking out:

- The [2024](https://courses.datatalks.club/llm-zoomcamp-2024/projects) and [2025](https://courses.datatalks.club/llm-zoomcamp-2025/projects) projects on the course platform for examples and inspiration.
- The [Modules 1 Cohort Materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag), which may contain additional resources, including GitHub codespaces guidance, troubleshooting tips, or other relevant information.

If you provide more context or details about the specific issue you're facing in Module 1 (RAG), I'd be happy to try and help you further.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What's a typical lesson flow in the LLM Zoomcamp course, and how long do lessons usually last?","Based on the provided context, here are some answers to commonly asked questions about the LLM Zoomcamp course:

**Typical lesson flow:** 

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

**Lesson duration:**
Unfortunately, the provided context doesn't mention how long lessons usually last.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"How does homework differ from the lesson material, is it just more challenging questions or something different altogether?","The homework in this course differs from the lesson material in a few ways. Here are some key differences:

1. **Different dataset versions**: The homework questions often use different dataset versions than the ones used in the videos. This can result in small differences due to changes in the data.
2. **Modified or alternative tasks**: Homeworks may require you to apply the same concepts in a slightly different way or use a different task, which can make them distinct from the lesson material.
3. **Focus on practical application**: The homework is designed to test your understanding and application of the concepts learned in the videos, rather than just reviewing or rephrasing the same information.
4. **Less emphasis on option selection**: While you may not need to match your answer exactly to the options provided, it's still essential to ensure that your answers are reasonable and aligned with the question requirements.

It's also worth noting that homework questions can behave slightly differently because:

* The dataset versions used for homework might be different from those in the videos.
* Small differences in floating-point arithmetic or rounding may occur between the video demonstrations and real-world implementations (since homework might use a slightly different model or data provider).
* You may need to check for any specific context or filtering applied during the test, which is not always shown in the video demos.

To minimize confusion and ensure accurate results, it's essential to review both the GitHub homework instructions and the course platform page. If you're still unsure about a question, don't hesitate to reach out to the instructors (especially if you need help with code execution or understanding context).","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"If I'm having trouble with a concept from watching the video lessons, where do I go for additional support, such as tutorials or pre-recorded explanations?","Thank you for your question! If you're having trouble with a concept from watching the video lessons, I recommend going to the AI Shipping Labs website, which offers regular Zoom office hours and additional structure. However, please note that this is an optional extra support service.

If you don't have access to the AI Shipping Labs or prefer not to use them, the best course material is available in the module materials section of the course repo (repository). No live sessions are available for every module by default, but they may be announced separately when you need help. You can also ask your question in the Slack channel and follow the guidelines provided there.

Additionally, if you're using a programming language other than Python, I suggest checking out Groq's tool use documentation to learn about adapting code between different providers.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
I've joined the course and can't figure out which nickname/displayed name I should use for my account. Can you provide some guidance?,"To help you figure out your nickname/displayed name for your account:

1. Check if ""Lucid Elbakyan"" is already set as your public nickname for the leaderboard by clicking the link under General Course-Related Questions.

2. Go to ""Edit Course Profile"". The first field is your nickname/displayed name, and the second field is your official name that will appear on your certificate.

3. Change both fields if you want to be known as a different nickname or keep your real name private (only changes required in either field).

Remember, since the display name is only used for the leaderboard while the public nickname is displayed, you choose which one best represents you.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Do I need to keep the same name when editing my course profile as the one given when I set up my account, and what are the implications if it's different?","To answer your question: 

You do need to have different names for these fields if you want them to have distinct implications:
- First field (nickname/displayed name): This will appear on the public leaderboard.

However, the ""second field"" displayed name is what's shown when printing a valid certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"I want to display a different name than 'Lucid Elbakyan' on the leaderboard, but I'm unsure how to change my displayed name. Can you provide more info?","To display a different name than 'Lucid Elbakyan' on the leaderboard, you can modify your public nickname in the ""Edit Course Profile"" section.

Here are the steps:

1. Click on the ""Edit Course Profile"" button.
2. Modify the first field (your nickname/displayed name) to any nickname of your choice. You can use your Slack username, GitHub username, or any other nickname you prefer.
3. Leave the second field (official name as per identification documents) unchanged if you want 'Lucid Elbakyan' on your certificate; change it to update the name printed on your certificate.

By following these steps, you will be able to display a different name than ""Lucid Elbakyan"" on the leaderboard while keeping your original name off the public leaderboard. 

However, I don't know if there's any restriction or limitation on changing your displayed nickname in case you want it exactly same on both leader board & certificate . Any changes made here would only affect how you are known to others in online communities.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How long will it take for my changes to my profile/pick nickname/displayed name to be applied?,I don't know. The provided context does not mention the timeframe for when changes to a profile/pick nickname/displayed name will be applied.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Will my official name (like passport or ID card) appear on my Certificate if I don't edit my display name?,"To determine whether your official name will appear on your Certificate, you need to check if you have edited your display name. According to the course materials, when you don't edit your Display Name:

""The certificate name only appears on your certificate — it isn't published online or shared with third parties.""

However, to see your official name (like in a passport or ID card) on your Certificate, **you must not edit your Display name** and have edited your ""official name"" field instead. This way, the official name will be printed on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What are the requirements to get a certificate after completing the course on my own schedule?,"To get a certificate after completing the course on your own schedule, you would NOT be eligible to do so under the current policy.

You must finish the course with a ""live"" cohort and then submit a capstone project and complete required peer reviews. However, if you completed most or any of homework before submitting, it won't affect the certificate eligibility directly but will only matter in leaderboard rankings, not in the certification qualification itself.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
I'm not part of a live cohort. Can I still earn a certificate?,"To answer your question: 

No, you cannot earn a certificate by following the course in a self-paced mode. You need to finish the course with a ""live"" cohort and submit your project and peer reviews during that time.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"Is homework required for the course, and if yes, can I do it in self-paced mode?","I don't know if homework is required for this specific course. However, it appears that homework is optional and not required to get a certificate.

Regarding submission of project updates (which include feedback from peer reviews), you must complete these while a live cohort is accepting them.

However, I can confirm that homework instructions are available in the course GitHub repo and in the course management platform, specifically for Module 1: [here](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md).

Additionally, if you are unclear about homework questions, it is recommended that you read the GitHub homework instructions instead of only the course platform page.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Can I submit a capstone project and complete peer reviews while taking the self-paced route?,"To determine whether you can submit a capstone project and complete peer reviews while taking the self-paced route, let's examine the information provided in the context.

Firstly, the course material is clear that in order to earn a certificate, one must ""finish a capstone project and complete the required peer reviews,"" which is only possible if completed with a live cohort since certificate delivery doesn't cater for a solo self-paced approach.

Secondly, although it says you can work on your project in ""self-paced mode,"" it states that:

1. Project submission: This must happen while a live cohort is accepting submissions.
2. Peer review: While the exact timeline can shift based on when peer reviews are assigned and opens (usually shortly after the project is submitted), this task has to be completed within one week of when peer review assignments open. There's no explicit option to perform these activities while in self-paced mode, implying they must align with a cohesive cohort group for participation and certification eligibility.

Lastly, note that only in a ""live"" cohort setting do you have the ability to participate fully in this system, including submitting your capstone project and completing peer reviews to earn your certificate. The course explicitly mentions participation in these aspects can lead to receiving a certificate through doing them ""with a live cohort"".

In summary, given the current information and guidelines, it's not directly supported by the provided context that participating in these two final steps (submitting a capstone project and completing peer reviews) is enabled for someone on the self-paced route. This suggests an inherent exclusion from the direct path to earning a certificate under this educational format choice.

Thus, considering all options and instructions given in the course materials, **I don't know** as it explicitly forbids doing these two essential certification requirements outside or even within a live cohort setup, yet outlines flexibility in homework submission.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
How long do I have to finish my capstone project and complete peer reviews after the live cohort ends?,"According to the context, after a live cohort ends:

* You have about a week (approximately) to complete the required peer reviews.
* The exact deadline will be shown on the course management platform alongside your assigned projects.

Note that if you miss the review window, the project submission won't count towards your certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"What constitutes the minimum number of homework assignments required to be considered as having completed the course, even if I miss one?","I don't know. The context does not specify a minimum number of homework assignments required to complete the course. In fact, it only mentions that there are different datasets and ways to apply the concepts, suggesting flexibility rather than a one-size-fits-all approach to completing the homework. It also advises students to re-check their answers if they are far from every option, implying that completion is not strictly tied to a minimum number of assignments.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Will missing a homework assignment affect my overall score in terms of ranking, or only my Capstone project score?","Based on the provided context, here is the answer to the question:

Missing a homework assignment will not affect your overall score in terms of ranking or your Capstone project score. Homework points only count towards your leaderboard rank. The Capstone project evaluation criteria consider the submission itself, not whether you have completed any additional coursework such as assignments.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Can I still get a certificate for the current session, or is it tied to upcoming sessions where I complete all coursework?","Based on the context, it seems that certificates are tied to completing a ""live"" cohort and finishing the capstone project. To answer your question:

Unfortunately, I don't know if you can still get a certificate for the current session without having completed all coursework ahead of time. The only scenario where certificates might be available is if new enrollments occur after the existing cohorts have finished all coursework, allowing them to submit their capstone projects while the cohort is still accepting submissions. However, this information isn't explicitly stated in the provided context regarding existing members.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If I submit late homework assignments, can I retroactively apply extra points towards my overall score?","Based on the provided context, I don't know whether you can retroactively apply extra points towards your overall score for a late homework assignment. The provided rules state that missed homework assignments won't affect your certificate (and therefore your overall score), but it does not explicitly mention the handling of late submissions and potential extra points.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
How does my rank on the leaderboard change if I pass the Capstone project but fail some assignments?,"I don't know how your rank on the leaderboard changes specifically when passing the Capstone project but failing some assignments, as the provided context only explains general aspects of the leaderboard and grading process in relation to the capstone project and doesn't directly address this combination of scenarios.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What happens if I edit something that has [DRAFT] after it's available?,"If I edit something that has ""[DRAFT]"" after it's available, what happens?

I don't know. 

The provided context doesn't provide any information about what happens if you edit a resource labeled as ""[DRAFT]"" after it's made available. It only explains when the content is ready and how to work on the material or homework in advance.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How long does it take for new homework content to become available?,I don't know.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can I access previous versions of homework before they're updated?,"I don't know. There is no specific information in the context about accessing previous versions of homework before they're updated. It mentions that if you want to see previous projects, you can browse them on dedicated pages, but there's no connection to whether you can access homework submissions before updates are applied.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"If a worksheet title is marked as [DRAFT], can I still see the previous version?","Based on the provided context, I couldn't find any specific information that directly relates to accessing previous versions of a worksheet titled as [DRAFT]. The context mainly deals with topics like homework deadlines, submission forms, capstone projects, and joining the course.

The closest related topic is the homework section, where it's mentioned that:

""If a homework title contains `[DRAFT]`, it means the homework is not ready yet.""

However, this information doesn't explicitly state whether you can still access previous versions of a DRAFT homework or worksheet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Are updates or changes made during draft periods reflected in my final submissions?,"According to the context provided:

 Updates or changes made during draft periods are reflected in your final submissions **only** if you follow two conditions:
 
 - The homework form is open on the course management platform.
 - The homework title does not contain `[DRAFT]`.
 
 If the title contains `[DRAFT]`, working on the material in advance is at your own risk, and the final version may be different from what you worked on.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What is the exact date range for Summer 2027 section?,I don't know.,Summer 2027.,bd31146b0e
Are there any upcoming start dates other than Summer 2027?,I don't know. The provided context does not mention any upcoming start dates beyond Summer 2027.,Summer 2027.,bd31146b0e
Will the course be available at Zoom or in-person next year?,"I don't know if the course will be available at Zoom or in-person next year. The provided context only mentions that the course will be offered ""Summer 2027"", but does not specify whether it will be online, offline, or a combination of both.",Summer 2027.,bd31146b0e
How many sections will we have during that summer semester?,"I don't know how many sections will be included during the summer semester, as it is not mentioned in the context provided.",Summer 2027.,bd31146b0e
