question,document,course
Are there any upcoming start dates other than Summer 2027?,bd31146b0e,llm-zoomcamp
Will the course be available at Zoom or in-person next year?,bd31146b0e,llm-zoomcamp
How many sections will we have during that summer semester?,bd31146b0e,llm-zoomcamp
Can you add a 'register now' option to your website for Summer 2027 section?,bd31146b0e,llm-zoomcamp
Are there any lectures or videos for the LLM Zoomcamp course and where should I start looking?,31456f4b5f,llm-zoomcamp
Can you give me a link to the relevant materials/video files so i can access in the zoom meeting?,31456f4b5f,llm-zoomcamp
How do i find the video for the general course-related questions section?,31456f4b5f,llm-zoomcamp
Is there a specific file or folder that i should check first when trying to find videos?,31456f4b5f,llm-zoomcamp
I have checked the GitHub repo but i couldn't see the videos Can someone please explain more about how are the videos linked on these pages?,31456f4b5f,llm-zoomcamp
What's the process for tracking my progress in LLM Zoomcamp?,20c5a1347e,llm-zoomcamp
Can I find the full syllabus of LLM Zoomcamp on the course management platform?,20c5a1347e,llm-zoomcamp
Why does the LLM Zoomcamp syllabus not have a separate deadlines section and homework assignments listed there?,20c5a1347e,llm-zoomcamp
"How do I access my course schedule, like when to attend each session in the [LLM Zoomcamp](https://courses.datatalks.club/llm-zoomcamp-2026/)?",20c5a1347e,llm-zoomcamp
When will I receive updates on the course updates for LLM Zoomcamp?,20c5a1347e,llm-zoomcamp
"Can I still ask questions during live sessions, or are those reserved for specific modules?",d65e05bd7a,llm-zoomcamp
What happens if we can't make it to a recorded module session? Are there any alternatives?,d65e05bd7a,llm-zoomcamp
Are the AI Shipping Labs and Zoom office hours only for paid participants?,d65e05bd7a,llm-zoomcamp
How does asking questions in Slack fit into the overall course structure?,d65e05bd7a,llm-zoomcamp
"Can I get one-on-one support outside of the live sessions, or do I have to wait until the next session?",d65e05bd7a,llm-zoomcamp
What type of projects are eligible for LLM ZoomCamp and how many credit hours are required to receive approval?,dbf5369006,llm-zoomcamp
"Can I use only the study resources available on Zoomcamp, or do I need to also have access to external online lectures and discussions in order to graduate?",dbf5369006,llm-zoomcamp
"How many credits will I exactly be earning if I complete LLM Zoomcamp coursework, and does this apply in addition to my university requirements?",dbf5369006,llm-zoomcamp
"Will the experience gained via Zoomcamp contribute towards any further professional certifications, and are these applicable elsewhere?",dbf5369006,llm-zoomcamp
Can a student receive public credits for utilizing pre-existing knowledge to work projects rather than formal course materials?,dbf5369006,llm-zoomcamp
What's the benefit of using two channels (Telegram & Slack) for discussion?,054f3fd58f,llm-zoomcamp
Can I join the LLM Zoomcamp Telegram channel by just clicking a link?,054f3fd58f,llm-zoomcamp
How often should I expect to receive announcements and important updates on the Telegram channel?,054f3fd58f,llm-zoomcamp
Are there any specific protocols or guidelines I need to follow for using the Telegram channel?,054f3fd58f,llm-zoomcamp
What technical issues are commonly discussed in the course Slack channel?,054f3fd58f,llm-zoomcamp
"I'm trying to get my RAG results to match the examples in the video example notebook, what's the deal with getting inconsistent answers?",e2d595f23c,llm-zoomcamp
Can you clarify why the document count is off between the FAQ download and the video recording? Is it a problem that I should know about?,e2d595f23c,llm-zoomcamp
Do I need to update my dataset every time the videos are recorded for my results to match?,e2d595f23c,llm-zoomcamp
So I submitted my homework late because the submission window was still open at that point - will it still be accepted?,a9353fadfe,llm-zoomcamp
Can you clarify what happens when the submission form is no longer open? Is there a penalty for submitting after that?,a9353fadfe,llm-zoomcamp
"If I've already submitted my homework and realize one part is incorrect, can I add more information to the submission or do I have to redo the whole thing?",a9353fadfe,llm-zoomcamp
I want to check in on my assignment status - how will the instructor be grading it if the deadline has passed?,a9353fadfe,llm-zoomcamp
What is considered 'within a day' of not meeting the original deadline? Will there be an extension given for slightly late submissions?,a9353fadfe,llm-zoomcamp
Can I get a deadline extension if I miss the date to submit my homework?,cdc3b285e5,llm-zoomcamp
If I submit my coursework after the stated deadline does nothing bad happen?,cdc3b285e5,llm-zoomcamp
Do late submissions for homework affect my certificate at all?,cdc3b285e5,llm-zoomcamp
How long can i still submit my homework once the deadline has already passed?,cdc3b285e5,llm-zoomcamp
Does having missing homework entries on the leaderboard count against my rank?,cdc3b285e5,llm-zoomcamp
What does my 'official name' in the Edits Course Profile mean? Is that how I should enter my actual full name?,651ba06b34,llm-zoomcamp
Why was my nickname called 'Lucid Elbakyan'? Can I use my own nickname or must I change it if its generated like that?,651ba06b34,llm-zoomcamp
Can I make sure no one sees my real name on my certificate as well?,651ba06b34,llm-zoomcamp
"Is my public nickname the same for online courses too, or is it just this course?",651ba06b34,llm-zoomcamp
What's considered anonymous in the context of the leaderboard,651ba06b34,llm-zoomcamp
Why am i being asked to edit my Course Profile if its not going to be publicly shown?,651ba06b34,llm-zoomcamp
"], ",651ba06b34,llm-zoomcamp
So why didn't we just dive into using LangChain from the start? I thought it would be more efficient.,b7cdde6b25,llm-zoomcamp
Can you explain how understanding the core components first helps us when using frameworks like LangChain later on?,b7cdde6b25,llm-zoomcamp
"I'm a bit confused - isn't learning React or Angular after HTML, CSS, and JavaScript somewhat redundant if frameworks automate most of that for you?",b7cdde6b25,llm-zoomcamp
"How does focusing on building prompts, retrieval, indexing, and evaluation before jumping into something more complex compare to, say, just using LangChain right away?",b7cdde6b25,llm-zoomcamp
In what ways do the core components we're learning now not get 'automated' by something like a framework in terms of how they help me build LLM-powered apps?,b7cdde6b25,llm-zoomcamp
What does 'insufficient credits' mean exactly? How much credit do I need for responses.create?,f5df151c59,llm-zoomcamp
Can I redeem new credits directly on the responses.create page or is there a separate part of the UI to check credit balances?,f5df151c59,llm-zoomcamp
Are refunds issued in case of insufficient credits or only for paid plan premium users?,f5df151c59,llm-zoomcamp
Do API logs show why OpenAI responded with 'Insufficient credits' while still showing successful requests as checked,f5df151c59,llm-zoomcamp
How do I know when my monthly credits are replenished,f5df151c59,llm-zoomcamp
What is a RateLimitError and how do I know if I've hit my quota?,152af39a53,llm-zoomcamp
How can I add funds to my OpenAI API account if I don't have any existing credit?,152af39a53,llm-zoomcamp
"Can I use multiple models at once with the responses.create() function, or should I specify one model as in 'model='gpt-4o''?",152af39a53,llm-zoomcamp
Will I need to recreate an API key after adding credits to my account and updating it locally?,152af39a53,llm-zoomcamp
Are there any other error codes that I may encounter besides 'insufficient_quota'?,152af39a53,llm-zoomcamp
How does the OpenAI API usage fee work and how low is the minimum amount I have to spend?,554d0eb78b,llm-zoomcamp
What's included in the $5 recharge fee and are there any recurring costs beyond that?,554d0eb78b,llm-zoomcamp
"Is it true that initial usage of the Open AI API is only a fraction of one cent, or am I paying more than that for basic use.",554d0eb78b,llm-zoomcamp
"Can I reuse my unused $5 credit immediately after recharging, or do I have to make an extra payment first?",554d0eb78b,llm-zoomcamp
Are there any hidden fees associated with the OpenAI API or are the $5 recharge fees upfront?,554d0eb78b,llm-zoomcamp
What is considered a good alternative to OpenAI API that I can use for this course?,85384a18e5,llm-zoomcamp
Do all the tasks in this course require paid subscription to OpenAI API to complete?,85384a18e5,llm-zoomcamp
Can I use a free trial of OpenAI to finish the homeworks if I already made some progress with my current service?,85384a18e5,llm-zoomcamp
Will OpenAI API free plan be limited somehow for this course?,85384a18e5,llm-zoomcamp
Are there any specific requirements or limitations on using paid alternatives instead of OpenAI API?,85384a18e5,llm-zoomcamp
Will we be learning how to use uv from scratch or can we just follow along with the examples already made?,f81dea8f7e,llm-zoomcamp
Are there any downsides to using uv compared to pip and virtualenv alone?,f81dea8f7e,llm-zoomcamp
How does one create a reproducible lockfile in uv?,f81dea8f7e,llm-zoomcamp
Is there a way to switch back to manual pip and virtualenv if uv doesn't suit our workflow?,f81dea8f7e,llm-zoomcamp
"Can we expect uv to replace all project managers, not just the ones that are mentioned in the official docs?",f81dea8f7e,llm-zoomcamp
"Can I use a different environment file instead of .env to load my OpenAi API key?
",86d99bbf21,llm-zoomcamp
"I already loaded the .env file, but my OPENAI_API_KEY is still not found when creating the Openai client. What's the next step?",86d99bbf21,llm-zoomcamp
"I installed python-dotenv with pip install python-dotenv, and still can't find my OPENAI_API_KEY. Is there an alternative method to set environment variables for this?",86d99bbf21,llm-zoomcamp
"I used 'open' to load the .env file in jupyter notebook, is that correct?
",86d99bbf21,llm-zoomcamp
Is it possible for OPENAI_API_KEY to appear if I make a typo when setting it in the .env file?,86d99bbf21,llm-zoomcamp
Can you provide an example of what it means to add '.env' to '.gitignore'? Is this a specific file or directory?,233dabe430,llm-zoomcamp
How do I handle cases where my python-dotenv library and file are not recognized when it says 'install python-dotenv'?,233dabe430,llm-zoomcamp
Is there any other way to load API keys besides using os.getenv() and the loaded secrets from .env file?,233dabe430,llm-zoomcamp
Can you show us an example of how to add environment variables to another programming language or build system besides Python?,233dabe430,llm-zoomcamp
Are there potential security risks in sharing my .env file with colleagues as we're supposed to use it to store our '...',233dabe430,llm-zoomcamp
Can I use OpenAI instead of Azure OpenAI for the homework?,ee43413718,llm-zoomcamp
How do I adapt the code to work with Gemini?,ee43413718,llm-zoomcamp
Is using a local model allowed on this course?,ee43413718,llm-zoomcamp
Are there any free alternatives to Groq for RAG?,ee43413718,llm-zoomcamp
What's the tokenization format used by OpenRouter and how would that affect my code?,ee43413718,llm-zoomcamp
What is an `.env` file and how do I create one for my Gemini API key?,0ae5c221b9,llm-zoomcamp
How can I point my OpenAI client to Google's OpenAI-compatible base URL?,0ae5c221b9,llm-zoomcamp
Is the code example providing in Module 1 correct if it uses newer Responses format chat completions style?,0ae5c221b9,llm-zoomcamp
Can you give more details about 'message_history' in the llm function?,0ae5c221b9,llm-zoomcamp
Will changing the course examples make more sense now that I understand how to use OpenAI-compatible endpoint ?,0ae5c221b9,llm-zoomcamp
What does the `response_format=Questions` in the example do exactly?,341f71f28c,llm-zoomcamp
How do I define my desired Pydantic model before calling `chat.completions.parse`?,341f71f28c,llm-zoomcamp
Can you provide a simple `messages` array that demonstrates how to use `response_format=Questions` correctly?,341f71f28c,llm-zoomcamp
"If I have multiple models like gemini-3.1-flash-lite and gemini-2.1-large-standard, which one do I choose in the example.",341f71f28c,llm-zoomcamp
"Does Gemini return structured output in plain JSON, or is there an alternative format I should expect?",341f71f28c,llm-zoomcamp
Can I install Ollama on a Raspberry Pi?,1d0b969028,llm-zoomcamp
No explanation is provided for running the `curl` command; what OS should I use?,1d0b969028,llm-zoomcamp
The download link doesn't seem secure - can you confirm it's safe to download from ollama.com?,1d0b969028,llm-zoomcamp
What are some potential issues when starting the LLaMA 3 model locally?,1d0b969028,llm-zoomcamp
"Yes, I installed Ollama correctly, but now I'm getting an error message - how do I troubleshoot the problem?",1d0b969028,llm-zoomcamp
i get a connection refused error when trying to prompt Ollama RAG - how do i fix this?,c6fc2d4d11,llm-zoomcamp
Can I just 'kill' the ollama server process or does it need restarting?,c6fc2d4d11,llm-zoomcamp
does restarting the ollama server solve the connection issue when prompting rag?,c6fc2d4d11,llm-zoomcamp
what if the cell containing ollama serve hangs indefinitely - am I stuck?,c6fc2d4d11,llm-zoomcamp
 Restarting the ollama server is required even though i close my local ollama notebook instance?,c6fc2d4d11,llm-zoomcamp
"Hi, I'm having trouble with the token count when using `tiktoken.encode()` and getting it from OpenAI's API. Can you explain why they might differ?",bf0403d21b,llm-zoomcamp
"I see that OpenAI adds some extra tokens for chat formatting. Are those included in their API response when I get a total of 320 tokens from my prompt, but they report 327?",bf0403d21b,llm-zoomcamp
"When creating a `chat.completions.create()` call with multiple messages, how many structural tokens should I expect to be added by OpenAI's API?",bf0403d21b,llm-zoomcamp
I noticed that whitespace and newlines in my text can increase the token count. Is this something to consider when using the `tiktoken.encode()` method?,bf0403d21b,llm-zoomcamp
Can you provide examples of unusual Unicode characters or formatting that might affect the reported vs apparent token count?,bf0403d21b,llm-zoomcamp
"Hey, so I understand that i need to use a file management tool like dirdotenv to keep my API keys out of version control. But how does the hook work in terms of environment variables? Can you give an example?",8b2f5e9d04,llm-zoomcamp
I know i'm supposed to add .env and .envrc to .gitignore. How do i find out which ones are which? And why can't i just ignore one of them?,8b2f5e9d04,llm-zoomcamp
Can you explain what you mean by 'more portable across shells and operating systems'? Are there any specific issues with using dirdotenv on windows or mac?,8b2f5e9d04,llm-zoomcamp
"I used the direnv hook as instructed, but when I create a new env file in my project folder, it doesn't automatically load the key. What's going wrong here?",8b2f5e9d04,llm-zoomcamp
How do i use direnv to integrate my .envrc file into a codespaces workflow? I'm not sure how to apply those steps from the instructions to an actual codespace.,8b2f5e9d04,llm-zoomcamp
Can you give an example of how to set field weights before implementing minsearch? I need to get it right from the start.,87d4ea4e08,llm-zoomcamp
How do I know if my chosen retrieval metrics mean anything when evaluating query performance for minsearch?,87d4ea4e08,llm-zoomcamp
What's a good way to determine which representative questions should be used in creating ground-truth datasets?,87d4ea4e08,llm-zoomcamp
"Is there a default method for tuning weights and then re-evaluating, or is it trial and error with no benchmarks?",87d4ea4e08,llm-zoomcamp
Can you show me step-by-step how to set up a small ground-truth dataset for minsearch search evaluation?,87d4ea4e08,llm-zoomcamp
"Can you provide an example of what types of noise should I remove from documents for RAG?
",649c280e6d,llm-zoomcamp
What's a good way to preserve useful context in my documents so they're structured and easy to process?,649c280e6d,llm-zoomcamp
Are there any specific tools or formats that are recommended for storing and processing the cleaned-up data?,649c280e6d,llm-zoomcamp
Should I use chunking methods like grouping similar content together based on keywords or speaker names?,649c280e6d,llm-zoomcamp
How do I prioritize what metadata to keep if I'm not sure which context will be useful later?,649c280e6d,llm-zoomcamp
"Hi, I was trying to run a command in Codespaces that involves 'uv', and it gave me this weird warning message about 'Failed to hardlink files'. Is this something I'm supposed to be worried about?",acf8fa5356,llm-zoomcamp
How can I prevent the 'uv' team from telling me that it failed to hardlink some of my project files? I just want to install my dependencies without those warnings popping up.,acf8fa5356,llm-zoomcamp
"If I already ran another command in Codespaces before and didn't have this warning, will it happen again somehow or should it go away?",acf8fa5356,llm-zoomcamp
I've got uv set up on github codespaces. Can someone tell me more about how these cache environments for the uv files work?,acf8fa5356,llm-zoomcamp
"What happens when you hardlink an actual file instead of just setting up a symlink? Are there any downsides to using that?
",acf8fa5356,llm-zoomcamp
"I just downloaded the python-dotenv package, but when I run `uv add python-dotenv`, it says 'package' not found. What am I missing?",0bed1f48da,llm-zoomcamp
"After downloading and adding the package, how do I actually use env variables with dotenv in a Python script?",0bed1f48da,llm-zoomcamp
Can I install python-dotenv without using uvicorn? Because my IDE doesn't support it.,0bed1f48da,llm-zoomcamp
I have python-dotenv installed through PyPI but getting a No installation found error when trying to add it via uv. Is there something else I'm doing wrong?,0bed1f48da,llm-zoomcamp
How do i load the variables from .env file to be able to access them correctly within a Python script?,0bed1f48da,llm-zoomcamp
What's the best way to set up a local environment for this course?,aa310de435,llm-zoomcamp
Can I use pre-installed Python and uv instead of installing from source?,aa310de435,llm-zoomcamp
How do I ensure my local environment is reproducible across different machines?,aa310de435,llm-zoomcamp
Can someone running locally still get support if they encounter issues like others in Codespaces?,aa310de435,llm-zoomcamp
Is there any specific guide on how to run Docker and other tools for RAG module 1?,aa310de435,llm-zoomcamp
I was working on some code in Codespaces but the internet connection wasn't great - will my code still be there when it does come back?,610ccb23c0,llm-zoomcamp
Will I lose all my code if Codespaces gets shut down or deleted at some point?,610ccb23c0,llm-zoomcamp
"Can you give an example of why committing my code is necessary, even though it's saved on your Linux VM?",610ccb23c0,llm-zoomcamp
"If I commit regularly, does that mean my changes will be available in the main branch of the repo?",610ccb23c0,llm-zoomcamp
What happens to our repository files if we don't save something in 'main' branch?,610ccb23c0,llm-zoomcamp
Can I increase the RAM allocation in WSL2 without having to restart my computer? How do I know if the change takes effect?,f3dd94f323,llm-zoomcamp
I created a .wslconfig file but it looks different from what you mentioned. What's the correct format for memory allocation and how do I add it?,f3dd94f323,llm-zoomcamp
"What's the difference between 8GB and X.X GB in terms of actual RAM usage, and how can I be sure the change is applied to my WSL2 instance?",f3dd94f323,llm-zoomcamp
"If I already have a large amount of available system memory (more than Y.Y GiB), but my WSL2 requires even more than that, what are my options for increasing the allocation?",f3dd94f323,llm-zoomcamp
How long does it take for the RAM changes to take effect in WSL2 after making these adjustments?,f3dd94f323,llm-zoomcamp
What if I'm not familiar with adding `.ini` files? Is there a safer way to make these changes?,f3dd94f323,llm-zoomcamp
"If my GitHub Codespace isn't working, how do I stop and start a new one? Can I expect the data in my local repository to sync up with the code space?",830f3d2018,llm-zoomcamp
I installed some packages through UV before closing my codespace and now they're gone when I reopen. How do I reinstall them?,830f3d2018,llm-zoomcamp
"Can I avoid losing uncommitted changes when deleting and recreating a Codespace, or is there another way to work around this issue?",830f3d2018,llm-zoomcamp
How can I troubleshoot why the stability is flaky with Codespaces? Can I run the course locally instead as an alternative?,830f3d2018,llm-zoomcamp
"In some cases, my Codespace disappears completely. Can you give any tips on how to backup and recover all of my data?",830f3d2018,llm-zoomcamp
"Is it true that I can only use a paid model from Hugging Face due to licensing restrictions, or are open-source hosted models available as an option?",c6ff9083c0,llm-zoomcamp
"How do I host a local model instance with Ollama or vLLM, and what are the system requirements for each platform?",c6ff9083c0,llm-zoomcamp
Can I use a free LLM provider like my existing Google Colab account if it meets the course requirements?,c6ff9083c0,llm-zoomcamp
"If I rent a GPU machine to run my local model, will my project still work on remote servers?",c6ff9083c0,llm-zoomcamp
Are there any alternative tools besides Hugging Face models that can be used with the provided course code?,c6ff9083c0,llm-zoomcamp
How do I reduce the number of API calls to avoid hitting OpenAI's rate limits? Are there any specific strategies that are recommended for this course?,8e21752415,llm-zoomcamp
"Is it true that retrying with backoff can help resolve 429 errors instead of crashing the run? If so, what is the recommended maximum number of retries?",8e21752415,llm-zoomcamp
"Can you explain why lowering concurrency in a thread/process pool helps me avoid hitting OpenAI's rate limits, and how small should the pool be?",8e21752415,llm-zoomcamp
How do I cache results to disk so that re-running a notebook doesn't result in multiple calls to the API? Which formats are recommended for embedding vector data?,8e21752415,llm-zoomcamp
"Are there any specific tools or APIs that are recommended for grouping independent inputs into a single request, such as Groq's free tier?",8e21752415,llm-zoomcamp
"Hey, I'm having an issue with a specific API response that uses a Pydantic model. How do I convert it into a dictionary format so I can easily print and inspect its nested structures?",4a2c64c6e7,llm-zoomcamp
I want to display the full LLM API response object as an expandable JSON tree in my Jupyter notebook. Can someone guide me through this process step by step?,4a2c64c6e7,llm-zoomcamp
How do you usually search for specific fields within printed or displayed json output of an LLM API? I have been using grep on Unix but that's slow and not very user friendly. Is there a faster way to do this?,4a2c64c6e7,llm-zoomcamp
What if the OpenAI-specific field names I'm trying to find are not present in the provider SDK's JSON response? How can I modify my code to look for alternative keys instead?,4a2c64c6e7,llm-zoomcamp
I have managed to print out the correct nested key names and fields from my API but it would be really helpful to know how to visually inspect them as per your advice so please provide a script that does this for me.,4a2c64c6e7,llm-zoomcamp
When displaying the JSON response in a display notebook cell I should use what module is used when creating JSON objects or JSON displayed on an online chat?,4a2c64c6e7,llm-zoomcamp
"I'm using two projects at different locations on my computer, each having its own virtual environment. I've come back to my main project only to find that uv is still active from the previous day - how can I fix this?",91675fa206,llm-zoomcamp
What's the command sequence for switching between two virtual environments? Should I have just one .venv folder?.,91675fa206,llm-zoomcamp
"Is it possible to create a virtual environment within another project folder when working outside of a main, actively-used environment?",91675fa206,llm-zoomcamp
Can you help clarify that sometimes after reactivating an existing virtual environment with uv venv and cd into the right directory - then there's still `which python` showing the wrong location?.,91675fa206,llm-zoomcamp
How do I make sure to activate the correct environment every time without accidentally switching between projects?,91675fa206,llm-zoomcamp
"I installed a new Python package using GitHub Codespaces, but when I'm working in Jupyter Notebook, it doesn't recognize the package - what could be causing this?",74486f4c87,llm-zoomcamp
"In my Jupyter notebook, how do I check which interpreter is being used by default, and if it's related to the one I used to install the package?",74486f4c87,llm-zoomcamp
"If 'sys.executable' points to a different environment than where I installed the package, how do I change the kernel picker in Jupyter Notebook to use the correct project environment?",74486f4c87,llm-zoomcamp
"After changing the kernel picker in Jupyter Notebook to point to the `.venv` directory of my GitHub Codespaces repository, do I need to restart the kernel before trying to import a Python package again?",74486f4c87,llm-zoomcamp
"If I run `pip list` in the Codespaces terminal and the package is listed there, but my Jupyter notebook still doesn't recognize it - what else can I try?",74486f4c87,llm-zoomcamp
Can you give an example of what counts as a 'tool' or 'function' in agentic RAG?,c296ea5a21,llm-zoomcamp
What exactly does it mean for the model to decide when to call a tool/function in RAG?,c296ea5a21,llm-zoomcamp
Can you recommend any free Agentic RAG models with tool use support?,0d74a3616f,llm-zoomcamp
Are there any Groq models that allow for automatic code adaptation for local Ollama or other providers' response shapes?,0d74a3616f,llm-zoomcamp
"I couldn't find the free development pricing information - can I get an exact cost breakdown?

For context, how long does free usage last before reaching a certain cost threshold?

Additionally, what are some common limitations on tool use with Groq models versus Ollama or other providers?",0d74a3616f,llm-zoomcamp
"If using Groq for tool use, do Groq's APIs support synchronous vs asynchronous responses, and if so, is the response format always consistent across all tools?",0d74a3616f,llm-zoomcamp
"Based on your documentation, how do model updates affect tool schemas, especially in regards to compatibility with newer API versions?",0d74a3616f,llm-zoomcamp
"I'm trying to build an agent using OpenAI's Responses API, but I keep getting an AttributeError when it says 'str' object has no attribute 'output'. Can someone help me understand how to fix this issue? Specifically, what model should I use and how do I structure my code?",9e7b3f0c25,llm-zoomcamp
How do I determine which tools schema to use for the chat-completions API when using a non-OpenAI provider like Mistral or Groq?,9e7b3f0c25,llm-zoomcamp
"What would be the best course of action if my preferred provider does not support the newer Responses API, but uses an older API that's more suitable for homework projects? Should I have to rewrite my entire agent from scratch?",9e7b3f0c25,llm-zoomcamp
"Can you provide an example code snippet demonstrating how to use the chat-completions API on a non-OpenAI provider like Gemini?
Also,
how do I adapt the tools schema according to each provider's expected shape?",9e7b3f0c25,llm-zoomcamp
I'm confused about the best approach for handling different providers and their respective APIs. Can someone guide me through a comparison of open-source versus proprietary options?,9e7b3f0c25,llm-zoomcamp
I'm trying to use Azure OpenAI and I keep getting a 400 error. Can someone help me understand what's going wrong and how to fix it? The error message says 'Missing required parameter: 'tools[0].function''. Can you provide more context or clarify what tools[0] is supposed to be?,b9c7c6bb34,llm-zoomcamp
"I've been following the Azure OpenAI guide, but I'm still having trouble getting it to work. Could you please walk me through how to set up my get_weather_tool JSON object correctly? Should I use a specific format like in the example?",b9c7c6bb34,llm-zoomcamp
I made changes to my get_weather_tool JSON but now I'm getting an error saying 'Missing required parameter: 'tools[0].function''. Is there something I need to adjust or check that's causing this issue?,b9c7c6bb34,llm-zoomcamp
"Can you provide examples of different functions I can use with Azure OpenAI, or at least point me in the direction where I can find them? The documentation doesn't seem to cover specific tools extensively.",b9c7c6bb34,llm-zoomcamp
"What kind of data should I be using for city names if trying to get real weather data from Azure OpenAI? Should they be cities like 'New York' or a string that resembles geolocation - '{latitude}, longitude'}?",b9c7c6bb34,llm-zoomcamp
I'm trying to use toyaikit with Groq and I keep getting a 404 error. How do I fix this? Can you provide an example of how to use it?,0224d980b3,llm-zoomcamp
"How do different providers like Anthropic impact the way I use toyaikit?

### OpenAI vs Groq (chat completions)
",0224d980b3,llm-zoomcamp
"The instructions for using openai and groq with toyaikit have me confused. Please, clarify how the `OpenAIResponsesRunner` / `OpenAIClient` calls differ from the general chat completions classes?",0224d980b3,llm-zoomcamp
I've installed anthropic's GPT model but I still see an error saying `anaconda client.error.ClientError`. What do I need to correct?,0224d980b3,llm-zoomcamp
Are there any known limitations or requirements to know about before using Anthropic with toyaikit?,0224d980b3,llm-zoomcamp
"For a complete code example, can someone provide the most recent version of Groq using in the OpenAIChatCompletionsRunner?",0224d980b3,llm-zoomcamp
"An error is occurring while running one turn programmatically for me (and will cause an error in python jupyter cells) - `.last_message`,`.all_messages` and `.tokens` are returned without issue, 
but I am getting no response.  What are the errors most likely to cause such a problem.",0224d980b3,llm-zoomcamp
I was able to get my OpenAI api key but how should i have set up os.getenv for GROQ_API_KEY when starting the tool ?,0224d980b3,llm-zoomcamp
"I'm having trouble finding the homework assignments on the course management platform. Do they not exist there anymore?
",53f15299b6,llm-zoomcamp
